Contrato;ProcessoContrato;AssinaturaContrato;ObjetoContrato;FavorecidoContrato;CPF/CNPJContrato;SituaçãoContrato;ValorContrato
000143/2020;002479/2020;15/10/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA CONSTRUCAO DE UMA PRACA PUBLICA NO BAIRRO SANTA CLARA, NO MUNICIPIO DE JERONIMO MONTEIRO/ES;Construfort Construtora Ltda;27.057.109/0001-11;Vigente;238200,03
000142/2020;002483/2020;14/10/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA REFORMA DA PRACA PUBLICA JOSE ANTONIO RIBEIRO, LOCALIZADA NA BAIRRO SANTO ANTONIO, NO MUNICIPIO DE JERONIMO MONTEIRO-ES.;Sercel Construcoes Eireli;34.262.928/0001-66;Vigente;119199,34
000141/2020;002684/2020;09/10/2020;Contratacao de empresa para aquisicao de Biblioteca digital, contendo legislacao, doutrina, jurisprudencia e outras informacoes juridicas para consulta online, para as atividades da Procuradoria deste Municipio.;Lex Editora S A;61.160.768/0001-17;Vigente;1800
000140/2020;003353/2020;05/10/2020;Aquisicao emergencial de mascaras cirurgicas retangular descartavel a ser utilizado pelos Agentes Comunitarios de Saude em visita domiciliar a diversos pacientes do municipio, considerando as medidas e orientacoes e administrativas para prevencao do conta;Hospidrogas Comercio de Produtos Hospitalares Ltda;35.997.345/0001-46;Vigente;10797
000139/2020;002490/2020;30/09/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA EXECUCAO DE OBRA DE CONSTRUCAO DE COBERTURAS EM UNIDADES HABITACIONAIS DE FAMILIA CARENTES DO MUNICIPIO DE JERONIMO MONTEIRO/ES, CONFORME DIRETRIZES DA ASSISTENCIA SOCIAL.;Construfort Construtora Ltda;27.057.109/0001-11;Vigente;49879,66
000138/2020;004608/2019;24/09/2020;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEL OBJETIVANDO ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;Vigente;4577,65
000137/2020;002001/2020;24/09/2020;AQUISICAO DE MATERIAIS E EQUIPAMENTOS DE PROTECAO, DE LIMPEZA E HOSPITALARES E KITS PARA DETECCAO QUALITATIVA DE IGM E IGG, CONSIDERANDO AS MEDIDAS DE ORIENTACAO E ADMINISTRATIVAS PARA PREVENCAO E CONTAGIO PELO SARS-CoV-2 (COVID-19, NOVO CORONAVIRUS), NO;Prime Materiais  Medicos Hospitalares Ltda- ME;12.082.502/0001-98;Vigente;1521,5
000136/2020;002001/2020;24/09/2020;AQUISICAO DE MATERIAIS E EQUIPAMENTOS DE PROTECAO, DE LIMPEZA E HOSPITALARES E KITS PARA DETECCAO QUALITATIVA DE IGM E IGG, CONSIDERANDO AS MEDIDAS DE ORIENTACAO E ADMINISTRATIVAS PARA PREVENCAO E CONTAGIO PELO SARS-CoV-2 (COVID-19, NOVO CORONAVIRUS), NO;F V P Coelho;26.294.192/0001-80;Vigente;2700
000135/2020;002001/2020;24/09/2020;AQUISICAO DE MATERIAIS E EQUIPAMENTOS DE PROTECAO, DE LIMPEZA E HOSPITALARES E KITS PARA DETECCAO QUALITATIVA DE IGM E IGG, CONSIDERANDO AS MEDIDAS DE ORIENTACAO E ADMINISTRATIVAS PARA PREVENCAO E CONTAGIO PELO SARS-CoV-2 (COVID-19, NOVO CORONAVIRUS), NO;Braseiro Restaurantes, Comercio e Servicos EIRELI;09.086.681/0001-27;Vigente;2622,5
000134/2020;003181/2020;22/09/2020;Contratacao de empresa para aquisicao de massa asfaltica em embalagens de 25 kg cada, que se faz necessario em virtude de manutencao e reparos (recobrir camada asfaltica), da avenida principal do municipio.;Paulitec Tec. em Produtos de Pavimentos Ltda - ME;20.482.448/0001-04;Vigente;16680
000133/2020;004608/2019;21/09/2020;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEL OBJETIVANDO ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;Vigente;40001,45
000132/2020;002001/2020;15/09/2020;AQUISICAO DE MATERIAIS E EQUIPAMENTOS DE PROTECAO, DE LIMPEZA E HOSPITALARES E KITS PARA DETECCAO QUALITATIVA DE IGM E IGG, CONSIDERANDO AS MEDIDAS DE ORIENTACAO E ADMINISTRATIVAS PARA PREVENCAO E CONTAGIO PELO SARS-CoV-2 (COVID-19, NOVO CORONAVIRUS), NO;Viva Med Distribuidora e Imp. de Prod.Medicos Ltda;25.249.213/0001-82;Vigente;18000
000131/2020;002001/2020;15/09/2020;AQUISICAO DE MATERIAIS E EQUIPAMENTOS DE PROTECAO, DE LIMPEZA E HOSPITALARES E KITS PARA DETECCAO QUALITATIVA DE IGM E IGG, CONSIDERANDO AS MEDIDAS DE ORIENTACAO E ADMINISTRATIVAS PARA PREVENCAO E CONTAGIO PELO SARS-CoV-2 (COVID-19, NOVO CORONAVIRUS), NO;F V P Coelho;26.294.192/0001-80;Vigente;13350
000130/2020;002001/2020;15/09/2020;AQUISICAO DE MATERIAIS E EQUIPAMENTOS DE PROTECAO, DE LIMPEZA E HOSPITALARES E KITS PARA DETECCAO QUALITATIVA DE IGM E IGG, CONSIDERANDO AS MEDIDAS DE ORIENTACAO E ADMINISTRATIVAS PARA PREVENCAO E CONTAGIO PELO SARS-CoV-2 (COVID-19, NOVO CORONAVIRUS), NO;Multinfo Informatica e Tecnologia Eireli;12.388.728/0001-11;Vigente;1341
000129/2020;002001/2020;15/09/2020;AQUISICAO DE MATERIAIS E EQUIPAMENTOS DE PROTECAO, DE LIMPEZA E HOSPITALARES E KITS PARA DETECCAO QUALITATIVA DE IGM E IGG, CONSIDERANDO AS MEDIDAS DE ORIENTACAO E ADMINISTRATIVAS PARA PREVENCAO E CONTAGIO PELO SARS-CoV-2 (COVID-19, NOVO CORONAVIRUS), NO;Prime Materiais  Medicos Hospitalares Ltda- ME;12.082.502/0001-98;Vigente;3120
000128/2020;002879/2020;11/09/2020;Contratacao de empresa visando recuperacao e revisao a atual base de calculos dos repasses de royaties do municipio de Jeronimo Monteiro, conforme documentos acostados em anexo. OBS:No campo de valor unitario considera-se o numeral 15, como valor em perce;Cordeiro Laranjeiras e Maia Advogados;07.710.758/0001-62;Vigente;15
000127/2020;004608/2019;04/09/2020;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEL OBJETIVANDO ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;Vigente;38847,71
000126/2020;002780/2020;04/09/2020;Contratacao de empresa para aquisicao de servicos de gerenciamento e backup de dados digistais para atendimento as necessidades administrativas das secretarias municipais.;ESSENCIAL GESTAO PUBLICA EIRELI - ME;08.346.672/0001-65;Vigente;6300
000125/2020;002552/2020;04/09/2020;Prestacao dos servicos publicos de saude de consultas, exames, procedimentos e consultas especializadas e de apoio para diagnostico, constante da Tabela de Valores e Procedimentos de Saude - TVSPS, do Consorcio Publico da Regiao do Polo Sul - CIM Polo Sul;consorcio publico da regiao do polo sul;02.722.566/0001-52;Vigente;350000
000124/2020;003707/2019;04/09/2020;AQUISICAO DE MOBILIARIO, EQUIPAMENTOS ELETRODOMESTICOS E DE INFORMATICA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS.;C L Costa Comercio e Servicos LTDA ME;17.884.676/0001-98;Vigente;9778
000123/2020;003178/2019;01/09/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS EM GERAL E DE MANUTENCAO E CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNICIPIO;Johny L. Goncalves - ME;07.714.364/0001-82;Vigente;9074
000122/2020;003720/2019;01/09/2020;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELOS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO, conforme especificacoes contidas no Edital de Pregao Presencial nº000033/2019;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;Vigente;10000
000121/2020;006067/2019;01/09/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS COM FORNECIMENTO DE PECAS EM GERAL E SERVICOS DESERTOS OU FRACASSADOS NAS LICITACOES ANTERIORES, VISANDO ASSIM A MANUTENCAO E A CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNIC;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;Vigente;2790
000120/2020;006067/2019;14/08/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS COM FORNECIMENTO DE PECAS EM GERAL E SERVICOS DESERTOS OU FRACASSADOS NAS LICITACOES ANTERIORES, VISANDO ASSIM A MANUTENCAO E A CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNIC;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;Vigente;35000
000119/2020;002487/2020;07/08/2020;Contratacao de um tecnico em contabilidade ou contador, para acompanhamento e auxilio nas atividades referentes na Tomada de Contas Especial, que visa a apuracao de eventuais danos a administracao publica, no exercicio de 2009 a 2012.;Carlos Jose Souza Ferreira;***.226.157-**;Rescisao;7500
000118/2020;003051/2019;06/08/2020;AQUISICAO DE EQUIPAMENTOS E MOBILIARIOS PARA O PREDIO ONDE SERA INSTALADO O MUSEU, CONFORME CONTRATO DE REPASSE N° 840583-2016 MTUR;Melo Distribuidora de Materiais Eireli;35.502.416/0001-92;Vigente;8553
000117/2020;003051/2019;06/08/2020;AQUISICAO DE EQUIPAMENTOS E MOBILIARIOS PARA O PREDIO ONDE SERA INSTALADO O MUSEU, CONFORME CONTRATO DE REPASSE N° 840583-2016 MTUR;Multinfo Informatica e Tecnologia Eireli;12.388.728/0001-11;Vigente;65980
000116/2020;003720/2019;06/08/2020;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELOS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO, conforme especificacoes contidas no Edital de Pregao Presencial nº000033/2019;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;Vigente;15000
000115/2020;003707/2019;06/08/2020;AQUISICAO DE MOBILIARIO, EQUIPAMENTOS ELETRODOMESTICOS E DE INFORMATICA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS.;Daiane Martins Gomes 07656709681;27.598.187/0001-23;Vigente;2034
000114/2020;001544/2020;23/07/2020;Contratacao de empresa para elaboracao de Projetos Tecnicos de Seguranca contra incendio e panico para aproacao junto ao Corpo de Bombeiros Militar do Espirito Santo para as escolas Municipais EMEF Andre Altoe, EMEF Nicolau Borges e EMEF Paulo Pereira Gom;Prevennir Enganharia EIRELI;28.197.912/0001-14;Vigente;5611,98
000113/2020;002445/2020;23/07/2020;Contratacao de profissional para prestacao de servicos de greidista, na realizacao de calculo de material a ser usado em terraplanagem, orientacao e acompanhamento do trabalho de corte e aterro, nivelamento e compactacao de pistas e verificacao de estacas;Alexandre Berardi Coqui;***.788.667-**;Vigente;4200
000112/2020;001804/2020;23/07/2020;Contratacao de empresa para gestao associada de servicos publicos, por meio da prestacao de servicos na area de saude pelo contratado  e ao contratante, de acordo com a Carteira de Servicos pactuada  na Comissao Intergestores Regional Sul - IR Sul, por me;consorcio publico da regiao do polo sul;02.722.566/0001-52;Vigente;34744,64
000111/2020;004608/2019;22/07/2020;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEL OBJETIVANDO ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;Vigente;62930
000110/2020;000933/2020;22/07/2020;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia, para atendimento a pacientes deste Municipio, durante  exercicio de 2020.;Patrick Barbosa Martins ME;23.891.037/0001-52;Vigente;131860
000109/2020;001986/2020;21/07/2020;Contratacao de empresa especializada para locacao de maquinas fotocopiadoras, objetivando atendimento a demanda de copias das Secretarias Municipais de Educacao e Fazenda ate o final do exercicio de 2020.;T M A Solucoes Tecnologicas EIRELI;05.874.376/0001-49;Vigente;3210
000108/2020;001149/2020;21/07/2020;Constratacao de empresa especializada para construcao de 02 (duas) faixas elevadas de concreto armado em vias publicas urbanas, localizado na Av. Governador Carlos Lindemberg, no Municipio de Jeronimo Monteiro.;Sercel Construcoes Eireli;34.262.928/0001-66;Vigente;17874,43
000107/2020;003178/2019;21/07/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS EM GERAL E DE MANUTENCAO E CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNICIPIO;Johny L. Goncalves - ME;07.714.364/0001-82;Vigente;11412,3
000106/2020;001118/2019;17/07/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SEGURO EM VEICULOS PERTENCENTES AS SECRETARIAS MUNICIPAIS;Mapfre Seguros Gerais S/A;61.074.175/0001-38;Vigente;1750
000105/2020;000933/2020;17/07/2020;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia, para atendimento a pacientes deste Municipio, durante  exercicio de 2020.;Patrick Barbosa Martins ME;23.891.037/0001-52;Vigente;131860
000105/2020;000933/2020;17/07/2020;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia, para atendimento a pacientes deste Municipio, durante  exercicio de 2020.;Clinica Medica Medicina M & S Saude;33.070.365/0001-41;Vigente;166780
000104/2020;000933/2020;17/07/2020;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia, para atendimento a pacientes deste Municipio, durante  exercicio de 2020.;J. Alves Ramos Junior;33.652.740/0001-61;Vigente;61110
000103/2020;001118/2019;17/07/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SEGURO EM VEICULOS PERTENCENTES AS SECRETARIAS MUNICIPAIS;Gente Seguradora S/A;90.180.605/0001-02;Vigente;2700
000102/2020;000933/2020;16/07/2020;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia, para atendimento a pacientes deste Municipio, durante  exercicio de 2020.;L & F Fisioterapia LTDA ME;22.495.969/0001-13;Vigente;61110
000101/2020;000933/2020;16/07/2020;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia, para atendimento a pacientes deste Municipio, durante  exercicio de 2020.;CLINICA DE ULTRASSONOGRAFIA DR.PEDRO NAGIBE LTDA M;02.510.585/0002-04;Vigente;58200
000100/2020;000933/2020;16/07/2020;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia, para atendimento a pacientes deste Municipio, durante  exercicio de 2020.;Joedi Cuidados em Saude Ltda;28.179.348/0001-07;Vigente;70750
000099/2020;003178/2019;16/07/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS EM GERAL E DE MANUTENCAO E CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNICIPIO;Johny L. Goncalves - ME;07.714.364/0001-82;Vigente;13960
000098/2020;005479/2018;15/07/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS EM GERAL PARA GUINCHO E DE MANUTENCAO E CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNICIPIO, CONSIDERANDO OS ITENS FRACASSADOS E DESERTOS DO PREGAO PRESENCIAL N°48-2018;L.C. De Oliveira Simoes - Me;10.564.955/0001-25;Vigente;15495
000097/2020;002086/2020;14/07/2020;Contratacao de empresa atraves de adesao de ata de registro de precos nº 011-2019 oriunda do pregao eletronico nº 11-2019 (SRP) realizado pelo Fundo Nacional de Desenvolvimento da Educacao (FNDE), conforme documentacoes acostadas em anexo pela Secretaria;San Marino Onibus Ltda;93.785.822/0001-06;Vigente;274000
000096/2020;002285/2020;09/07/2020;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELOS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO, conforme especificacoes contidas no Edital de Pregao Presencial nº000033/2019;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;Vigente;12000
000095/2020;005479/2018;07/07/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS EM GERAL PARA GUINCHO E DE MANUTENCAO E CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNICIPIO, CONSIDERANDO OS ITENS FRACASSADOS E DESERTOS DO PREGAO PRESENCIAL N°48-2018;L.C. De Oliveira Simoes - Me;10.564.955/0001-25;Vigente;435
000094/2020;001986/2020;06/07/2020;Contratacao de empresa especializada para locacao de maquinas fotocopiadoras, objetivando atendimento a demanda de copias das Secretarias Municipais de Educacao e Assistencia Social ate o final do exercicio de 2020.;T M A Solucoes Tecnologicas EIRELI;05.874.376/0001-49;Vigente;11556
000093/2020;006067/2019;06/07/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS COM FORNECIMENTO DE PECAS EM GERAL E SERVICOS DESERTOS OU FRACASSADOS NAS LICITACOES ANTERIORES, VISANDO ASSIM A MANUTENCAO E A CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNIC;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;Vigente;15200
000092/2020;000458/2019;26/06/2020;Contratacao de empresa especializada para tratamento ortodontico no paciente kawan de Silis de Souza, conforme determinacao Judicial.;Azevedo & Solino Ltda;01.965.777/0001-53;Vigente;330
000091/2020;005479/2018;18/06/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS EM GERAL PARA GUINCHO E DE MANUTENCAO E CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNICIPIO, CONSIDERANDO OS ITENS FRACASSADOS E DESERTOS DO PREGAO PRESENCIAL N°48-2018;L.C. De Oliveira Simoes - Me;10.564.955/0001-25;Vigente;4783,5
000090/2020;000793/2020;18/06/2020;Contratacao de empresa especializada para reforma, ampliacao e revitalizacao da Capela Mortuaria, localizada na Ladeira da Igualdade, no Municipio de Jeronimo Monteiro;Empretec Multiserv Ltda - EPP;17.144.895/0001-30;Vigente;208979,27
000089/2020;004608/2019;15/05/2020;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEL OBJETIVANDO ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;Vigente;310859,6
000088/2020;000962/2020;22/04/2020;Contracao de empresa especializada para execucao de obra de pavimentacao de vias urbanas, sendo a Rua Projetada, Parada Cristal  - Niteroi  e Rua Projetada (Beco do Quiosque do Alvinho) Parada Cristal, localizado no Municipio de Jeronimo Monteiro.;Construtora Rocha e Servicos Eireli;33.160.345/0001-61;TERMINO DE PRAZO;31526,62
000087/2020;000637/2020;17/04/2020;CONTRATACAO DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS DE LAVAGEM E LUBRIFICACAO DE VEICULOS E MAQUINAS DA FROTA DESTA PREFEITURA MUNICIPAL;L.C. De Oliveira Simoes - Me;10.564.955/0001-25;Vigente;50400
000086/2020;005987/2019;17/04/2020;CONTRATACAO DE EMPRESA PARA AQUISICAO DE EQUIPAMENTOS DE INFORMATICA E MOBILIARIOS, PARA ATENDIMENTO AO FMS DESTE MUNICIPIO, CONFORME PROPOSTA 15626.810000/1190-01 MINISTERIO DA SAUDE.;A & I Comercio Ltda;21.010.448/0001-66;TERMINO DE PRAZO;11492
000085/2020;005987/2019;17/04/2020;CONTRATACAO DE EMPRESA PARA AQUISICAO DE EQUIPAMENTOS DE INFORMATICA E MOBILIARIOS, PARA ATENDIMENTO AO FMS DESTE MUNICIPIO, CONFORME PROPOSTA 15626.810000/1190-01 MINISTERIO DA SAUDE.;Jose Osvaldo Lopes MEI;12.432.925/0001-90;TERMINO DE PRAZO;1239
000084/2020;005987/2019;17/04/2020;CONTRATACAO DE EMPRESA PARA AQUISICAO DE EQUIPAMENTOS DE INFORMATICA E MOBILIARIOS, PARA ATENDIMENTO AO FMS DESTE MUNICIPIO, CONFORME PROPOSTA 15626.810000/1190-01 MINISTERIO DA SAUDE.;L.F DE MIRANDA EIRELI;25.039.188/0001-02;TERMINO DE PRAZO;1500
000083/2020;005481/2019;15/04/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA REALIZACAO DE OBRAS DE PAVIMENTACAO E DRENAGEM DE VIAS PUBLICAS URBANAS, CONFORME CONTRATO DE REPASSE OGU  N° 875724/2018 - OPERACAO 1059608-66 -  PROGRAMA PLANEJAMENTO URBANO, PARA PAVIMENTACAO DE VIAS PUBLICAS N;PAMEG CONSTRUTORA LTDA;29.778.703/0001-27;Vigente;171644,38
000082/2020;004278/2019;14/04/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS DE RECARGA DE TONERS E CARTUCHOS DE EQUIPAMENTOS PERTENCENTES A ESTA PREFEITURA;Vitoria Cartuchos - Ltda Me;08.176.376/0001-63;Vigente;1909
000081/2020;004278/2019;14/04/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS DE RECARGA DE TONERS E CARTUCHOS DE EQUIPAMENTOS PERTENCENTES A ESTA PREFEITURA;A P Moreira Informatica;30.207.017/0001-85;Vigente;1735,4
000080/2020;004278/2019;14/04/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS DE RECARGA DE TONERS E CARTUCHOS DE EQUIPAMENTOS PERTENCENTES A ESTA PREFEITURA;Jose Osvaldo Lopes MEI;12.432.925/0001-90;Vigente;3127,5
000079/2020;006314/2019;14/04/2020;Contratacao de empresa especializada para execucao de obra de reforma dos vestiarios, deposito, banheiros, despensa, almoxarifado, alambrad o, piso da quadra e arquibancada do ginasio Jose Rodrigues da Fonseca, localizado no Parque de   Exposicoes, no mun;Sercel Construcoes Eireli;34.262.928/0001-66;Vigente;223531,57
000078/2020;005711/2019;06/04/2020;Contratacao de empresa especializada para realizacao de obras de Esgotamento Sanitario das ruas que compoem o bairro  luiz Vasques  pertencente a este Municipio, localizado proximo ao trevo de saida para Alegre-ES, localidade que da acesso a comunidade qu;EXPRESSO CONSTRUTORA LTDA ME;27.129.966/0001-80;Vigente;332038,54
000077/2020;006067/2019;31/03/2020;CONTRATACOES DE EMPRESAS ESPECIALIZADAS PARA A PRESTACAO DE SERVICOS COM FORNECIMENTO DE PECAS EM GERAL E SERVICOS DESERTOS OU FRACASSADOS NAS LICITACOES ANTERIORES, VISANDO ASSIM A MANUTENCAO E A CONSERVACAO DA FROTA DE VEICULOS PERTENCENTES A ESTE MUNIC;Tracvel Autocenter Ltda-ME;13.134.431/0001-92;Vigente;110227
000076/2020;003707/2019;20/03/2020;AQUISICAO DE MOBILIARIO, EQUIPAMENTOS ELETRODOMESTICOS E DE INFORMATICA PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS.;Jose Osvaldo Lopes MEI;12.432.925/0001-90;TERMINO DE PRAZO;4697
000075/2020;001118/2019;18/03/2020;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SEGURO EM VEICULOS PERTENCENTES AS SECRETARIAS MUNICIPAIS;Gente Seguradora S/A;90.180.605/0001-02;Vigente;465
000074/2020;004544/2019;16/03/2020;Contratacao de empresa para construcao de um posto de atendimento, localizado na Av. Dr. Jose Farah, s/n, centro, no Municipio de Jeronimo Monteiro.;Construtora Rocha e Servicos Eireli;33.160.345/0001-61;Vigente;31576,18
