NúmeroDispensa;ModalidadeDispensa;ProcessoDispensa;AberturaDispensa;ObjetoDispensa;Base LegalDispensa;SituaçãoDispensa;ValorDispensa
000090/2020;Dispensa;003353/2020;29/09/2020;Aquisicao emergencial de mascaras cirurgicas retangular descartavel a ser utilizado pelos Agentes Comunitarios de Saude em visita domiciliar a diversos pacientes do municipio, considerando as medidas e orientacoes e administrativas para prevencao do contagio pelo SARS COV2 (COVID-19 - Novo Coronavirus), conforme Decreto Municipal n° 6.275-2020.;Lei Nº 13.979/2020, Artigo 4º;Concluida;10797
000088/2020;Dispensa;003404/2020;24/09/2020;Inscricao de servidores efetivos da SEMGECOL para participacao em curso on line com o tema  Pregao Eletronico   Teoria e Pratica , a ser realizado do dia 29/09/2020 a 01/10/2020, objetivando a capacitacao dos servidores para realizacao do Pregao Eletronico nesta Prefeitura, atendendo ao Decreto Federal  n° 10.024/2019, a Instrucao Normativa 206/2019, as Resolucoes Federais n° 05 e 06/2020 e demais instrumento legais que disciplinam o assunto.;Dispensa, Artigo 24, Inciso II;Concluida;1500
000087/2020;Dispensa;003362/2020;23/09/2020;Contratacao de empresa para prestacao de servico de revisao de 80.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4126, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1580
000086/2020;Dispensa;003363/2020;23/09/2020;Contratacao de empresa para prestacao de servico de revisao de 70.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4125, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1560
000085/2020;Dispensa;001755/2020;06/10/2020;Contratacao de empresa para aquisicao de adaptadores wifi com antena, objetivando a continuidade ao processo de organizacao do novo espaco onde esta instalado a Biblioteca Municipal Maria Geaquinto neste municipio.;Dispensa, Artigo 24, Inciso II;Concluida;588
000084/2020;Dispensa;003143/2020;11/09/2020;Aquisicao de medicamento frente ao cumprimento da Decisao Judicial do Processo n° 0000446-24.2017.8.08.0029, ajuizada por Maria da Penha Vasques Lopes, em face o Estado do Espirito Santo e do Municipio de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso IV;Concluida;94,8
000083/2020;Dispensa;003181/2020;08/09/2020;Contratacao de empresa para aquisicao de massa asfaltica em embalagens de 25 kg cada, que se faz necessario em virtude de manutencao e reparos (recobrir camada asfaltica), da avenida principal do municipio.;Dispensa, Artigo 24, Inciso II;Concluida;16680
000082/2020;Inexigibilidade;002879/2020;10/09/2020;Contratacao de empresa visando recuperacao e revisao a atual base de calculos dos repasses de royaties do municipio de Jeronimo Monteiro, conforme documentos acostados em anexo. OBS:No campo de valor unitario considera-se o numeral 15, como valor em percentual.;Inixigibilidadae, Artigo 25, Inciso II;Concluida;15
000081/2020;Inexigibilidade;002684/2020;03/09/2020;Contratacao de empresa para aquisicao de Biblioteca digital, contendo legislacao, doutrina, jurisprudencia e outras informacoes juridicas para consulta online, para as atividades da Procuradoria deste Municipio.;Inixigibilidadae, Artigo 25, Inciso I;Concluida;1800
000079/2020;Dispensa;002552/2020;03/09/2020;Prestacao de servicos publicos de consultas, exames, procedimentos e consultas especializadas e de apoio para diagnostico, constante da Tabela de Valores e Procedimentos de Saude - TVSPS do Consorcio Publico da Regiao Polo Sul - CIM Polo Sul.;Dispensa, Artigo 24, Inciso XXVI;Concluida;350000
000074/2020;Dispensa;002780/2020;02/09/2020;Contratacao de empresa para aquisicao de servicos de gerenciamento e backup de dados digistais para atendimento as necessidades administrativas das secretarias municipais.;Dispensa, Artigo 24, Inciso II;Concluida;6300
000072/2020;Dispensa;002756/2020;17/08/2020;Contratacao de empresa para treinamento e capacitacao on line de 02 (dois) servidores da Secretaria de Fazenda, no curso de Producao de Mapas e Geoprocessamento, considerando recomendacoes do TCES de capacitacao dos profissionais da area de arrecadacao.;Dispensa, Artigo 24, Inciso II;Concluida;1894
000070/2020;Dispensa;002744/2020;11/08/2020;Contratacao de empresa para prestacao de servico de vistoria mecanica com emissao de laudo junto CETURB-ES, em 02 (dois) veiculos Mercedes Benz Sprinter, placa QRB-9936 e QRI-OD83, pertencente ao Fundo Municipal de Saude, uma vez que estes veiculos estao transportando pacientes para atendimento fora do domicilio, onde trafegam em rodovias fiscalizadas pela Policia Rodoviaria Federal.;Dispensa, Artigo 24, Inciso II;Concluida;1330
000069/2020;Dispensa;002537/2020;17/08/2020;Contratacao de empresa especializada para prestacao de servico de emissao de certificado digital para fins de certificacao digital online de documentacoes a serem realizados por esta municipalidade.;Dispensa, Artigo 24, Inciso II;Concluida;704
000067/2020;Dispensa;002543/2020;27/08/2020;Contratacao de empresa para aquisicao de 03 (tres) aparelhos telefonico celular, objetivando a comunicacao remota entre os setores,a fim de evitar aglomeracoes nos mesmos, devido ao enfrentamento da pandemia do COVID-19, segundo orientacoes do Ministerio de Estado da Cidadania.;Lei Nº 13.979/2020, Artigo 4º;Concluida;4170
000066/2020;Dispensa;001804/2020;22/07/2020;Contratacao de empresa para gestao associada de servicos publicos, por meio da prestacao de servicos na area de saude pelo contratado  e ao contratante, de acordo com a Carteira de Servicos pactuada  na Comissao Intergestores Regional Sul - IR Sul, por meio da Unidade de Cuidado Integral a Saude - Rede Cuidar Guacui;Dispensa, artigo 24, Inciso XXVII;Concluida;34744,64
000065/2020;Dispensa;002445/2020;21/07/2020;Contratacao de profissional para prestacao de servicos de greidista, na realizacao de calculo de material a ser usado em terraplanagem, orientacao e acompanhamento do trabalho de corte e aterro, nivelamento e compactacao de pistas e verificacao de estacas e marcacoes, para andamento da 2ª etapa da obra do parque exposicoes.;Dispensa, Artigo 24, Inciso II;Concluida;4200
000064/2020;Dispensa;002487/2020;06/08/2020;Contratacao de um tecnico em contabilidade ou contador, para acompanhamento e auxilio nas atividades referentes na Tomada de Contas Especial, que visa a apuracao de eventuais danos a administracao publica, no exercicio de 2009 a 2012.;Dispensa, Artigo 24, Inciso II;Concluida;7500
000062/2020;Dispensa;001986/2020;17/07/2020;Contratacao de empresa especializada para locacao de maquinas fotocopiadoras, objetivando atendimento a demanda de copias das Secretarias Municipais de Educacao e Fazenda ate o final do exercicio de 2020.;Dispensa, Artigo 24, Inciso II;Concluida;3210
000061/2020;Dispensa;001205/2020;13/03/2020;Contratacao da empresa Tec Brasil Eireli EPP, objetivando a manutencao corretiva com fornecimento de pecas do equipamento eletrocardiografo bionet cardicare 2000, nº serie eo1100482, para continuidade no atendimento aos pacientes desta Municipalidade;Dispensa, Artigo 24, Inciso II;Concluida;1250
000060/2020;Dispensa;001765/2020;30/07/2020;Contratacao de empresa para prestacao de servico de revisao de 20.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo: 2019-2020, placa QRK-2F56, pertencente a Secretaria Municipal de Educacao.;Dispensa, Artigo 24, Inciso XVII;Concluida;1070
000059/2020;Compra Direta;002086/2020;06/07/2020;Contratacao de empresa atraves de adesao de ata de registro de precos nº 011-2019 oriunda do pregao eletronico nº 11-2019 (SRP) realizado pelo Fundo Nacional de Desenvolvimento da Educacao (FNDE), conforme documentacoes acostadas em anexo pela Secretaria solicitante, objetivando a aquisicao de 01 (um) onibus rural escolar para atendimento ao transporte escolar municipal.;artigo 24, inciso II;Concluida;274000
000058/2020;Dispensa;002233/2020;01/07/2020;Contratacao de empresa especializada para realizacao de vistoria mecanica com emissao de laudo junto CETURB-ES, em 01 (um) onibus WW MASCA GRANVIA (transpovo), placa QRH-6A95, pertencente a Secretaria Municipal de Desenvolvimento Urbano, Obras Publicas e Transportes.;Dispensa, Artigo 24, Inciso II;Concluida;668
000055/2020;Dispensa;002097/2020;23/06/2020;Aquisicao de 30 latoes de plasticos, na prestacao de servico de limpeza urbana, para que seja feita a melhor acomodacao dos lixos domesticos facilitando assim a coleta do mesmo.;Dispensa, Artigo 24, Inciso II;Concluida;2700
000051/2020;Dispensa;001544/2020;17/06/2020;Contratacao de empresa para elaboracao de Projetos Tecnicos de Seguranca contra incendio e panico para aproacao junto ao Corpo de Bombeiros Militar do Espirito Santo para as escolas Municipais EMEF Andre Altoe, EMEF Nicolau Borges e EMEF Paulo Pereira Gomes;Dispensa, Artigo 24, Inciso I;Concluida;5611,98
000047/2020;Dispensa;000962/2020;16/04/2020;Contracao de empresa especializada para execucao de obra de pavimentacao de vias urbanas, sendo a Rua Projetada, Parada Cristal  - Niteroi  e Rua Projetada (Beco do Quiosque do Alvinho) Parada Cristal, localizado no Municipio de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso I;Concluida;31526,62
000046/2020;Dispensa;001600/2020;22/04/2020;Contratacao de empresa para aquisicao de mascaras de tecido e viseiras para rosto contra respingos, a serem utilizados pelos servidores em trabalho nas Secretarias Municipais, considerando as medidas de orientacao e administrativas para prevencao e contagio pelo SARS COV 2 (COVID-19 novo corona virus), no Municipio de Jeronimo Monteiro-ES, conforme Decreto Municipal nº 6.275/2020.;Lei Nº 13.979/2020, Artigo 4º;Concluida;3775,6
000043/2020;Dispensa;001187/2020;14/04/2020;Contratacao de empresa para prestacao de servico de revisao de 80.000 km com troca de pecas, no veiculo Renault Sandero Expression 1.6, ano 2017, placa PPL-4127, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;3728,93
000042/2020;Dispensa;001417/2020;15/04/2020;Aquisicao de materiais de protecao individual em carater de urgencia, para utilizacao pela Secretarias Municipais, considerando as medidas de orientacao administrativas para a prevencao e contagio pelo SARS COV 2 (COVID-19 novo corona virus),no Municipio de Jeronimo MOnteiro-ES, conforme Decreto Municipal nº 6.275-2020;Lei Nº 13.979/2020, Artigo 4º;Concluida;70251
000039/2020;Dispensa;001352/2020;30/03/2020;Aquisicao em carater de urgencia de alcool em gel 70º para distribuicao nas Secretarias Muncipais, Fundo Municipal de Saude e Gabinete de Prefeito objetivando a higienizacao como forma de prevencao ao coronavirus, conforme parecer da Procuradoria Municipal e determinacao do Exmº Prefeito Municipal constante nos autos.;Lei Nº 13.979/2020, Artigo 4º;Concluida;9609,6
000038/2020;Dispensa;001986/2020;03/07/2020;Contratacao de empresa especializada para locacao de maquinas fotocopiadoras, objetivando atendimento a demanda de copias das Secretarias Municipais de Educacao e Assistencia Social ate o final do exercicio de 2020.;Dispensa, Artigo 24, Inciso II;Concluida;11556
000037/2020;Compra Direta;001257/2020;13/03/2020;Contratacao de empresa , atraves de adesao de ata de registro de pecos nº 014-2019 oriunda do pregao eletronico nº 03-2019(SRP) realizado pela Secretaria de Estado da Agrilcultura, Abastecimento, Aquicultura e Pesca - SEAG-ES, conforme documentacoes acostadas em anexo pea Secretaria solicitante, objetivando a aquisicao de 01 (um) veiulo tipo pick-up, disposta no convenio 891348-2019 firmado entre o MInisterio da Agrilcultura, Pecuaria e Abastecimento e este Municipio, objetivando o atendimento dos produtores rurais.;Dispensa, Artigo 24, Inciso II;Concluida;49047,61
000030/2020;Compra Direta;000356/2020;21/02/2020;Contratacao de empresa, atraves de adesao de ata de registro de precos nº 10-2020, oriunda do pregao eletronico nº 09-2020 (SRP) realizado pela Secretaria de Estado de Agricultura, Abastecimento, Aquicultura e Pesca - SEAG-ES, conforme documentacoes acostadas em anexo pela Secretaria solicitate, objetivando a aquisicao de 03 Retroescavadeiras, dispostas nos Convenios 89269-2019, 896969-2019 e 889942-2019 firmado entre o MInisterio da Agricultura, Pecuaria e Abastecimento e este Municipio, objetivando atendimento dos seus produtores rurais.;Dispensa, Artigo 24, Inciso II;Concluida;598500
000029/2020;Compra Direta;000897/2020;21/02/2020;Contratacao de empresa, atraves de adesao de ata e registro de precos nº 49-2019, oriunda do Pregao Eletronico (SRP) realizado pela Secretaria de Estado de Agricultura, Abastecimento, Aquicultura e Pesca - SEAG-ES, conforme documentacoees acostadas em anexo pela Secretaria Socilitante, objetivando a aquisicao de 01 grade aradora, disposta em Convenio 891348-2019, firmado entre o Ministerio de Agricultura, Pecuaria e Abastecimento e este Municipio, objetivando atendimento dos seus produtores rurais.;Dispensa, Artigo 24, Inciso II;Concluida;19200
000028/2020;Dispensa;000835/2020;30/03/2020;Contratacao de empresa para aquisicao de pecas para manutencao corretiva em equipamentos odontologicos, visando garantir a continuidade dos atendientos realizados por esta Secretaria Municipal de Saude.;Dispensa, Artigo 24, Inciso II;Concluida;1106
000026/2020;Compra Direta;000818/2020;19/02/2020;Contratacao de empresa, atraves de adesao de ata de registro de precos nº 005E-2020, oriunda do pregao presencial nº 27/2019 (SRP) realizado pela Prefeitura Municipal de Piuma-ES, conforme documentacoes acostadas em anexo pela Secretaria Solicitante , objetivando a locacao de estruturas e aparelhagem para eventos, incluindo montagem e desmontagem, a serem promovidos pela Prefeitura Municipal de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso II;Concluida;128806
000025/2020;Inexigibilidade;000762/2020;14/02/2020;"Contratacao de show musical artistico com o cantor ""Barrozinho"" para apresentacao no dia 23 de fevereiro, considerando as festividades de carnaval a serem realizadas no Municipio, entre os dias 22 a 25 de fevereiro de 2020.";Inixigibilidadae, Artigo 25, Inciso III;Concluida;12000
000024/2020;Inexigibilidade;000643/2020;12/02/2020;"Contratacao de show musical artistico om a dupla ""Erick e Eduardo"" para apresentacao no dia 24 de fevereiro, considerando as festividades de carnaval a serem realizadas no Municipio, entre os dias 22 a 25 de fevereiro de 2020.";Inixigibilidadae, Artigo 25, Inciso III;Concluida;12000
000023/2020;Inexigibilidade;000644/2020;12/02/2020;"Contratacao de show musical artistico com o cantor ""Carlos Eduardo Magalhaes e Banda"", para apresentacao no dia 22 de fevereiro, considerando as festividades de carnaval a serem realizadas no Municipio, entre os dias 22 a 25 de fevereiro de 2020.";Inixigibilidadae, Artigo 25, Inciso III;Concluida;9500
000022/2020;Inexigibilidade;000636/2020;12/02/2020;"Contratacao de show  musical artistico om o cantor ""Donato Santana"" para apresentacao no dia 25 de fevereiro, considerando as festividades de carnaval a serem realizadas no Municipio, entre os dias 22 e 25 de fevereiro de 2020.";Inixigibilidadae, Artigo 25, Inciso III;Concluida;10500
000021/2020;Dispensa;000631/2020;10/02/2020;Contratacao de empresa para aquisicao e material medico e hospitalar para atendimento do Fundo Municipal de Saude em suas atividades com a populacao.;Dispensa, Artigo 24, Inciso II;Concluida;12876
000019/2020;Compra Direta;002674/2019;07/02/2020;Contratacao de empresa, atraves de processo de adesao a ata de registro de precos nº 244-219, oriunda do pregao eletronico nº 21-2019, da Prefeitura Municipal de Campo NOvo do Parecis - MT, por virtude da necessidade de instacao de 05 playgrounds, sendo 02 nas unidades de educacao infantil e 03 nas pracas publicas deste Municipio.;Dispensa, Artigo 24, Inciso II;Concluida;103165
000016/2020;Dispensa;000380/2020;06/02/2020;Contratacao de empresa para prestacao de servico de revisao de 20.000 km com troca de peca no veiculo Citroen Air Cross Start, ano-modelo 2017-18, placa OYK-7796, pertecente a Secretaria de Assistencia Social.;Dispensa, Artigo 24, Inciso XVII;Concluida;1002,42
000015/2020;Dispensa;000353/2020;07/02/2020;Contratacao de empresa para prestacao de servico de revisao de 30.000 km com troca de pecas, no veiculo Renault Logan EXP 1.6 SCE, ano 2018, placa PPP-8603, pertencente a Secretaria Municipal de Fazenda.;Dispensa, Artigo 24, Inciso XVII;Concluida;1276,35
000012/2020;Dispensa;000383/2020;29/01/2020;Contratacao de empresa para locacao de equipamento, tipo impressora-copiadora, para manutencao das atividades dos Setores de Compras, Licitacoes e Contratos, objetivando a continuidade dos servicos da SEMGECOL;Dispensa, Artigo 24, Inciso II;Concluida;2160
000011/2020;Dispensa;000388/2020;27/01/2020;Contratacao de empresa para fornecimento de passagem aerea nacional (reserva, emissao, marcacao, remarcacao e reembolso do bilhete) para o Prefeito Municipal, ida e volta, a Brasilia - Poder Legislativo Federal, por virtude da necessidade  de indicacao do Municipio para recebimento de emendas federais, haja vista o prazo final 04-02-2020.;Dispensa, Artigo 24, Inciso II;Concluida;1577
000010/2020;Dispensa;006258/2019;17/01/2020;Contratacao de empresa para gestao associada de servicos publicos, por meio da prestacao de servicos na area de saude pelo contratado  e ao contratante, de acordo com a Carteira de Servicos pactuada  na Comissao Intergestores Regional Sul - IR Sul, por meio da Unidade de Cuidado Integral a Saude - Rede Cuidar Guacui;Dispensa, Artigo 24, Inciso XXVI;Anulada;59562
000009/2020;Dispensa;006268/2019;21/01/2020;Prestacao de servicos publicos de consultas, exames, procedimentos e consultas especializadas e de apoio para diagnostico, constante da Tabela de Valores e Procedimentos de Saude - TVSPS do Consorcio Publico da Regiao Polo Sul - CIM Polo Sul.;Dispensa, Artigo 24, Inciso XXVI;Concluida;210756,39
000004/2020;Dispensa;006138/2019;14/01/2020;Contratacao de empresa para prestacao de servico de revisao de 70.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4126, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1380
000003/2020;Dispensa;006172/2019;14/01/2020;Contratacao de empresa para prestacao de servico de revisao de 10.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo: 2019-2020, placa QRK-2F56, pertencente a Secretaria Municipal de Educacao.;Dispensa, Artigo 24, Inciso XVII;Concluida;870
000002/2020;Dispensa;000458/2019;02/01/2020;Contratacao de empresa especializada para tratamento ortodontico no paciente kawan de Silis de Souza, conforme determinacao Judicial.;artigo 24, inciso II;Concluida;330
100258/2018;Dispensa;006009/2018;27/12/2018;Contratacao emergencial de empresa para fornecimento de urnas mortuarias, para eventuais atendimentos a familias carentes do Municipio, apenas no mes de janeiro de 2019, considerando os vencimentos dos contratos no dia 31-12-2018 e a abertura para o novo procedimento licitatorio esta prevista para o dia 09-01-2019.;Dispensa, Artigo 24, Inciso II;Concluida;4610,6
100248/2018;Dispensa;005418/2018;09/12/2018;Contratacao de empresa especializada para instalacao de rede  de protecao em Nylon na quadra poliesportiva da EMEF Andre Altoe, localizada na Rua Julio Raymundo Barbosa, no Bairro Parada Cristal, considerando que a protecao existente para que as bolas nao caiam nas residencias proximas, se encontra muito detelhorada, causando transtornos aos moradores em torno do local.;artigo 24, inciso II;Concluida;1242,45
100238/2018;Dispensa;005385/2017;19/11/2018;Aquisicao emergencial de medicamentos, onde os mesmos foram fracassados apos realizacoes de pregoes, para abastecimento a farmacia basica. A falta de medicamentos alem de comprometer a qualidade dos servicos prestados gera dessassistencia  para os usuarios dos SUS municipal.;Dispensa, Artigo 24, Inciso V;Concluida;17507
100228/2018;Dispensa;005133/2018;06/11/2018;Aquisicao de pelicula de controle solar (filme de protecao) - Arquitetonico g5, incluindo aplicacao em portas, janelas e basculas da Secretaria Municipal de Educacao, Secretaria Municipal de Desenvolvimento Rural e Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso II;Concluida;7397,61
100218/2018;Dispensa;004789/2018;04/10/2018;Aquisicao de brinquedos infantis a serem instalados nas escolas CMEI Sonho de Viver e CMEI Diva Saviatto Duarte, objetivando a melhoria no processo educativo desta modalidade de ensino.;artigo 24, inciso II;Concluida;7762
100103/2019;Dispensa;004066/2019;03/09/2019;Contratacao de empresa para prestacao de servico de revisao de 30.000 km com troca de pecas, no veiculo Ford KA SE 1.0, ano 2018, placa PPW-4302, pertencente a Secretaria Municipal de Assistencia Social.;Dispensa, Artigo 24, Inciso XVII;Concluida;1390
000238/2019;Dispensa;006018/2019;27/12/2019;Locacao de imovel localizado na rua Jarceu Braganca, s-n°, centro, Jeronimo Monteiro, CEP: 29.550-000, para atendimento a demanda e acomodacao do estoque de medicamentos e dispensacao dos mesmos pela farmacia basica desta municipalidade, tendo inicio no dia 02 de janeiro a 31 de dezembro de 2020.;artigo 24, inciso II;Concluida;19200
000233/2019;Dispensa;005896/2019;18/12/2019;Contratacao de empresa para prestacao de servico de revisao de 120.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo: 2017-2018, placa PPL-4129, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;2870
000232/2019;Dispensa;000036/2019;18/12/2019;Contratacao de empresa especializada para prestacao de servico de seguro, no veiculo Chevrolet Spin 7 lugares, 1.8 ano/modelo: 2017/2018 pertencente a Secretaria de Educacao.;artigo 24, inciso II;Concluida;1700
000228/2019;Dispensa;005713/2019;12/12/2019;Contratacao de empresa para prestacao de servico de revisao de 5.000 km com troca de pecas no Onibus Escolar VW 15.190 EOD E. HD ORE, ano-modelo: 2019-20, placa QRI-5E22, pertencente a Secretaria Municipal de Educacao.;Dispensa, Artigo 24, Inciso XVII;Concluida;2415,22
000221/2019;Dispensa;005649/2019;06/12/2019;Contratacao de empresa para prestacao de servico de revisao de 120.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo 2017-2018, placa PPL-4128, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1310
000220/2019;Dispensa;005570/2019;06/12/2019;Contratacao de empresa para prestacao de servico de revisao de 20.000 km com troca de pecas no veiculo Van Mercedes Bens Sprinter, ano 2019, placa QRI-0D83, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1450,71
000219/2019;Dispensa;005947/2019;13/12/2019;CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE KIT ESCOLAR PARA ATENDER AOS ALUNOS DA EDUCACAO INFANTIL, ENSINO FUNDAMENTAL DA REDE MUNICIPAL DE ENSINO DE JERONIMO MONTEIRO, ATRAVES DA ADESAO A ATA DE REGISTRO DE PRECOS N° 41/2018 ORIUNDA DO PREGAO PRESENCIAL N°62/2018 DA PREFEITURA MUNICIPAL DE SAQUAREMA-RJ.;Dispensa, Artigo 24, Inciso II;Concluida;100894
000218/2019;Dispensa;004832/2019;17/12/2019;Aquisicao de divisorias para que sejam feitas adequacoes nas escolas Municipais EMEF Paulo Pereira Gomes e EMEF Nicolau Borges , visando adequar de maneira satisfatoria o ambiente escolar para melhor atendimento aos alunos do 1° ao 5° ano.;Dispensa, Artigo 24, Inciso II;Concluida;4690
000217/2019;Dispensa;005230/2019;04/12/2019;Aquisicao de repelente a ser distribuido pela Secretaria de Saude, em atendimento aos programas realizados com as  gestantes do municipio de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso II;Concluida;4760
000216/2019;Dispensa;005817/2019;03/12/2019;Contratacao de empresa para fornecimento de gas liquefeito de petroleo para o Fundo Municipal de Saude e Secretaria Municipal de Educacao ate o final do exercicio de 2019. Destacamos que tal pedido se da considerando que o Pregao Presencial n° 35-2019, realizado em 22-11-2019 sagrou-se deserto e as mencionadas secretarias necessitam do item solicitado para manterem suas atividades ate a conclusao de outro processo licitatorio.;Dispensa, Artigo 24, Inciso II;Concluida;408
000215/2019;Dispensa;005756/2019;11/12/2019;Contratacao de empresa especializada para prestacao de servico de emissao de certificado digital em nome do Secretario Municipal de Saude e do Fundo Municipal de Saude e do Secretario Municipal de Fazenda e Servidores pertencentes a sua Secretaria.;Dispensa, Artigo 24, Inciso II;Concluida;1865
000214/2019;Dispensa;005571/2019;29/11/2019;Contratacao de empresa contemplando palestrante, para realizacao de seminario de encerramento de formacao continuada do ano letivo de 2019 para os profissionais da area da Educacao.;Dispensa, Artigo 24, Inciso II;Concluida;11385
000212/2019;Dispensa;003860/2019;10/12/2019;Contratacao de empresa para prestar servicos de lavagens de veiculos pertencentes a este Fundo Municipal de Saude, considerando a extrema necessidade da contratacao, tendo em vista que os itens solicitados se sagraram fracassados nos pregoes 48-2018 e 21-2019 e que os referidos servicos sao de extrema necessidade para que os atendimentos medicos aos Municipes nao sofram paralizacoes ou interrupcoes.;Dispensa, Artigo 24, Inciso II;Concluida;10245
000211/2019;Dispensa;005321/2019;26/11/2019;Contratacao de empresa para prestacao de servico de revisao de 20.000 km com troca de pecas, no veiculo GM Montana Marimar Ambulancia, ano 2019, placa QRH-7G54, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1290
000211/2019;Compra Direta;006084/2019;20/12/2019;Contratacao de empresa para aquisicao de equipamentos e softwares para serem instalados nas escolas municipais de ensino fundamental de Jeronimo Monteiro, objetivando melhoria e informatizacao das mesmas buscando melhor desenvolvimento no processo educacional dos mesmos.  A contratacao se dara por meio de adesao a Ata de Registro de Precos n° 014/2019, do Pregao Presencial 029/2019, realizada pela Prefeitura Municipal de Goianesia-GO, conforme documentacoes acostadas pela secretaria solicitante.;artigo 24, inciso II;Concluida;498657,6
